INSTNM,UGDS,REGION,LOCALE,CCSIZSET,ADM_RATE,TUITFTE
University of South Florida-St Petersburg,4073,5,11,12,0.3865,4998
Fitchburg State University,4070,1,22,13,0.8689,7303
Southern Oregon University,4048,8,22,13,0.7647,6570
Longwood University,4028,5,33,14,0.8913,6848
SUNY at Purchase College,4024,2,21,14,0.6505,6824
Biola University,4005,8,21,14,0.7347,22560
Virginia State University,3986,5,21,14,0.9109,5733
Arizona State University-West,3981,6,11,12,0.8241,10395
Robert Morris University,3979,2,21,13,0.8413,19074
University of Wisconsin-Parkside,3978,3,22,12,0.6712,4919
Trident University International,3971,8,21,12,0.6853,7737
Rice University,3962,6,11,14,0.1113,23358
York College of Pennsylvania,3960,2,22,14,0.6973,14971
Ashland University,3955,3,31,14,0.6806,13148
Harding University,3953,5,32,14,0.7462,14806
Nevada State College,3950,8,41,9,0.8134,3599
Aurora University,3944,3,21,12,0.8116,12630
MCPHS University,3933,1,11,13,0.9348,29045
Regis University,3926,7,11,12,0.6029,15755
Alabama State University,3903,5,12,14,0.9774,10160
Loyola University Maryland,3860,2,11,14,0.7874,24622
Clarion University of Pennsylvania,3849,2,33,13,0.941,8200
Delaware State University,3835,2,13,14,0.4917,7292
Rider University,3830,2,21,14,0.6967,21510
Emerson College,3817,1,11,14,0.3564,30703
Framingham State University,3804,1,13,13,0.7329,6790
La Salle University,3766,2,11,13,0.8118,14379
University of Portland,3757,8,11,14,0.7533,22941
Saint Edward's University,3757,6,11,13,0.8639,23419
Inter American University of Puerto Rico-San German,3747,9,13,12,0.4525,4883
Abraham Baldwin Agricultural College,3744,5,32,10,0.6894,3189
Savannah State University,3742,5,12,14,0.2918,2843
SUNY College of Technology at Alfred,3721,2,33,14,0.6297,3683
School of Visual Arts,3693,2,11,13,0.7,36760
Champlain College,3686,1,13,13,0.7541,18058
Pennsylvania State University-Penn State Abington,3683,2,21,12,0.8475,5114
University of the Pacific,3665,8,11,14,0.6348,32936
Hampton University,3661,5,12,14,0.4385,17093
Manhattan College,3654,2,11,14,0.7455,23401
Merrimack College,3648,1,21,14,0.8276,19192
Colorado State University-Pueblo,3630,7,12,13,0.9520000000000001,5757
Brandeis University,3627,1,13,14,0.3115,24212
University of Scranton,3624,2,13,14,0.7319,21654
Inter American University of Puerto Rico-Aguadilla,3622,9,21,12,0.46399999999999997,4804
Pepperdine University,3619,8,21,14,0.3565,31625
University of Puerto Rico-Arecibo,3617,9,13,12,0.4995,391
Maryville University of Saint Louis,3609,4,21,13,0.945,12781
Utica College,3602,2,13,13,0.8442,13505
New York Institute of Technology,3592,2,21,12,0.7575,35135
Pratt Institute-Main,3591,2,11,14,0.507,33625
Bucknell University,3583,2,32,14,0.3304,35034
The University of Texas of the Permian Basin,3558,6,12,13,0.905,6740
Oregon Institute of Technology,3558,8,33,12,0.9585,7737
Inter American University of Puerto Rico-Arecibo,3553,9,13,12,0.2828,4893
Calvin University,3550,3,12,14,0.7897,16892
Fairmont State University,3540,5,32,13,0.9477,3711
Abilene Christian University,3524,6,12,14,0.5696,16177
Samford University,3524,5,21,14,0.8208,19266
Upper Iowa University,3524,4,43,12,0.5047,9677
Edinboro University of Pennsylvania,3498,2,31,14,0.8,8616
Thomas Jefferson University,3495,2,11,14,0.5827,27768
University of North Carolina at Asheville,3478,5,13,13,0.9363,6841
Bryant University,3471,1,21,14,0.7567,24792
Emporia State University,3447,4,33,12,0.8532,7027
Stevens Institute of Technology,3420,2,21,14,0.4142,25617
Keene State College,3416,1,32,14,0.8136,10945
University of Bridgeport,3415,1,12,13,0.5724,16748
Florida Institute of Technology,3411,5,13,14,0.6504,22571
Molloy College,3409,2,21,12,0.8103,24144
Bethel University,3383,5,32,13,0.6649,11430
Indiana University-Northwest,3380,3,13,12,0.7961,6892
Barry University,3368,5,21,13,0.9125,16339
University of Mary Hardin-Baylor,3362,6,23,14,0.8668,18978
Eastern New Mexico University-Main Campus,3347,6,33,13,0.6038,4462
Clark Atlanta University,3320,5,11,14,0.5185,18157
Cedarville University,3318,3,31,14,0.7936,17091
The Catholic University of America,3294,2,11,14,0.8368,23458
SUNY College at Potsdam,3287,2,33,14,0.643,3828
Concordia University-Wisconsin,3272,3,21,13,0.6473,15225
University of Puerto Rico-Carolina,3262,9,12,12,0.316,1829
University of Puerto Rico-Humacao,3249,9,21,12,0.4187,549
University of Tulsa,3246,6,11,14,0.4077,19087
Fairleigh Dickinson University-Metropolitan Campus,3245,2,21,13,0.8924,19583
St Catherine University,3238,4,11,13,0.7325,17987
Governors State University,3225,3,41,12,0.3835,8161
Pennsylvania State University-Penn State Altoona,3220,2,13,13,0.9088,6005
University of Richmond,3215,5,12,14,0.3017,26089
Olivet Nazarene University,3209,3,23,14,0.6506,13125
Southern Arkansas University Main Campus,3203,5,33,14,0.6878,4716
Widener University,3201,2,21,14,0.6920000000000001,19740
University of Houston-Victoria,3190,6,13,9,0.5393,6166
Jersey College,3179,2,21,3,0.5667,16149
Point Park University,3170,2,11,13,0.6507,15639
Valparaiso University,3170,3,21,14,0.8931,15375
Wayland Baptist University,3169,6,33,9,0.9804,10382
Hawaii Pacific University,3160,8,11,12,0.7513,18044
Oral Roberts University,3159,6,11,14,0.805,12476
Gordon State College,3145,5,32,13,0.7057,2017
SUNY College of Technology at Delhi,3142,2,33,10,0.6361,4283
Siena College,3135,2,21,14,0.8014,14670
Point Loma Nazarene University,3130,8,11,14,0.6893,21015
College of Coastal Georgia,3129,5,13,9,0.9274,2629
SUNY College of Technology at Canton,3127,2,33,10,0.7799,4164
Stetson University,3124,5,22,14,0.6842,19036
Norwich University,3120,1,32,13,0.6591,14778
St. Joseph's College-Long Island,3120,2,21,12,0.7667,18290
Fort Lewis College,3118,7,32,13,0.9092,5025
Alcorn State University,3106,5,43,14,0.8931,2668
Francis Marion University,3097,5,23,13,0.6419,6763
Stevenson University,3087,2,41,14,0.7316,16453
University of Puerto Rico-Cayey,3064,9,21,12,0.7231,568
Baldwin Wallace University,3058,3,21,14,0.7425,16362
California Lutheran University,3054,8,12,13,0.7147,19499
Hope College,3046,3,13,14,0.7561,19319
University of Puerto Rico-Aguadilla,3046,9,21,12,0.7436,662
Brigham Young University-Hawaii,3040,8,31,11,0.4478,2592
Mississippi College,3036,5,21,14,0.384,11096
Endicott College,3033,1,21,14,0.8049,16618
Indiana University-East,3028,3,41,9,0.6488,7260
St Olaf College,3022,4,32,14,0.4991,20956
Lock Haven University,3020,2,32,13,0.9434,8282
University of South Carolina Aiken,3019,5,21,10,0.5095,6189
John Carroll University,3013,3,21,14,0.8325,15430
Iona College,3005,2,21,14,0.8816,20002
Henderson State University,2996,5,32,11,0.9055,3495
Clarkson University,2983,2,33,14,0.7108,17713
The Evergreen State College,2962,8,22,13,0.9523,7261
National Louis University,2960,3,11,12,0.8583,12147
Southeastern Oklahoma State University,2960,6,32,12,0.7539,7040
Webster University,2958,4,21,13,0.5614,16848
Culinary Institute of America,2956,2,21,14,0.9797,26076
Drake University,2952,4,12,14,0.6766,21160
University of Redlands,2945,8,13,14,0.7475,18560
University of North Texas at Dallas,2945,6,11,9,0.8311,7012
Saint Xavier University,2943,3,11,12,0.7395,17256
Colgate University,2934,2,32,11,0.2493,33704
Charleston Southern University,2933,5,12,13,0.5205,12182
Dallas Baptist University,2931,6,11,13,0.8807,18579
Illinois Institute of Technology,2924,3,11,14,0.5818,20812
Wesleyan University,2922,1,13,14,0.1746,29745
Lipscomb University,2914,5,11,14,0.5951,19419
College of the Holy Cross,2913,1,12,11,0.3801,30557
University of Florida-Online,2912,5,12,9,0.614,457
School of the Art Institute of Chicago,2893,3,11,13,0.5855,33923
Fresno Pacific University,2888,8,11,12,0.8511,16592
Citadel Military College of South Carolina,2882,5,12,14,0.8079999999999999,11712
Lander University,2879,5,32,11,0.4257,5691
Loyola University New Orleans,2868,5,11,14,0.9431,15191
Seattle Pacific University,2861,8,11,14,0.9008,21061
Charter College,2853,8,12,9,1.0,5823
University of Mount Olive,2853,5,31,9,0.5296,9432
Carroll University,2843,3,13,14,0.6864,15798
Jacksonville University,2838,5,11,13,0.8993,15287
University of Puerto Rico-Ponce,2828,9,12,12,0.3526,475
Shepherd University,2817,5,31,13,0.8946,5353
Elmhurst College,2799,3,21,13,0.6736,16568
Lewis-Clark State College,2787,7,13,9,0.9989,4440
Oberlin College,2785,3,31,11,0.3621,30337
Saint Mary's College of California,2781,8,21,14,0.7719,22631
Concordia University-Saint Paul,2760,4,11,12,0.9689,12369
SUNY Morrisville,2758,2,42,11,0.7186,4685
University of Detroit Mercy,2754,3,11,13,0.8298,24219
Carthage College,2751,3,22,11,0.6783,14368
Niagara University,2749,2,21,13,0.8663,13058
Western New England University,2746,1,12,14,0.8537,20304
Northwood University,2744,3,13,10,0.6754,15683
University of Hawaii-West Oahu,2743,8,21,9,0.7531,5414
Pacific Lutheran University,2739,8,21,11,0.7979,18734
Gannon University,2733,2,13,14,0.8085,17123
Furman University,2731,5,21,11,0.6105,22524
Indiana University-Kokomo,2730,3,13,9,0.7999,6736
Saint John Fisher College,2728,2,21,14,0.6445,20828
East Central University,2725,6,33,13,0.8264,5914
Bethel University,2723,4,21,14,0.7051,17088
Wingate University,2721,5,21,14,0.8479,12167
Fairleigh Dickinson University-Florham Campus,2713,2,21,14,0.8439,24615
Embry-Riddle Aeronautical University-Prescott,2712,6,41,10,0.6723,26166
University of Illinois at Springfield,2704,3,12,13,0.5282,7838
Benedictine University,2692,3,21,13,0.6283,16199
Anderson University,2685,5,13,14,0.6229,14915
Yeshiva University,2682,2,11,14,0.6028,17888
Husson University,2682,1,13,13,0.8279,12427
University of Hawaii at Hilo,2681,8,33,13,0.7863,7645
Louisiana State University-Alexandria,2673,5,41,9,0.5645,5587
George Fox University,2669,8,31,13,0.8231,18343
Florida Southern College,2666,5,12,11,0.5023,16887
Indiana Wesleyan University-Marion,2647,3,32,11,0.6829,13968
North Central College,2641,3,12,11,0.5568,16867
Messiah College,2633,2,21,11,0.7889,17305
Lafayette College,2616,2,21,11,0.2939,31923
Le Moyne College,2607,2,21,11,0.688,15572
Skidmore College,2598,2,23,11,0.2693,34195
University of Pittsburgh-Johnstown,2598,2,23,11,0.6511,12084
Flagler College-St Augustine,2589,5,23,10,0.5665,15112
Eastern Oregon University,2587,8,33,9,0.9813,7197
Milwaukee School of Engineering,2582,3,11,11,0.6311,15998
Rollins College,2571,5,21,11,0.6664,19635
Black Hills State University,2563,4,32,10,0.8832,6273
Barnard College,2557,2,11,11,0.1392,34147
Waldorf University,2554,4,33,10,0.7544,7199
Middlebury College,2550,1,32,11,0.1671,44232
University of Maryland Eastern Shore,2538,2,31,14,0.5411,4129
The University of Findlay,2533,3,32,14,0.7429,15140
Augustana College,2529,3,13,11,0.6369,16530
Tuskegee University,2529,5,32,14,0.5182,15883
Stonehill College,2527,1,21,11,0.6957,19674
Campbellsville University,2522,5,32,13,0.8334,11678
West Coast University-Orange County,2514,8,11,9,0.9535,25773
Saint Peter's University,2512,2,11,10,0.7424,17359
Pennsylvania State University-Penn State Berks,2509,2,21,10,0.8723,5994
Smith College,2496,1,21,11,0.3095,24024
Bellarmine University,2488,5,11,13,0.8584,17793
University of Baltimore,2486,2,11,12,0.784,12035
The College of Saint Rose,2469,2,13,13,0.8739,13911
University of Arkansas at Pine Bluff,2467,5,13,11,0.4435,4113
Trinity University,2462,6,11,11,0.3416,18143
The College of Saint Scholastica,2457,4,13,13,0.6618,13974
DeSales University,2449,2,21,10,0.7853,16062
Gettysburg College,2441,2,13,11,0.4541,29804
Xavier University of Louisiana,2437,5,11,11,0.5788,18718
Vassar College,2436,2,21,11,0.2458,28258
South Carolina State University,2415,5,32,11,0.5324,9866
Minot State University,2410,4,33,10,0.501,5977
University of the Cumberlands,2408,5,33,14,0.733,9038
St Lawrence University,2406,2,33,11,0.4607,23712
Palm Beach Atlantic University,2400,5,12,14,0.9529,17279
Capital University,2400,3,21,14,0.7302,13907
Wellesley College,2392,1,21,11,0.1954,21583
Moody Bible Institute,2385,3,11,11,0.9507,7415
University of New England,2379,1,22,14,0.7982,23042
Roosevelt University,2377,3,11,13,0.6485,19253
Mercyhurst University,2374,2,13,11,0.5981,14672
Denison University,2368,3,23,11,0.3391,18193
Wheaton College,2364,3,21,11,0.8265,20289
University of Puget Sound,2363,8,12,11,0.8831,31613
Otterbein University,2361,3,21,11,0.8102,14994
Babson College,2361,1,21,11,0.2441,34365
Wilkes University,2358,2,13,13,0.7482,17704
Whitworth University,2357,8,21,11,0.9078,17697
St. Mary's University,2356,6,11,14,0.7497,16395
Dickinson College,2353,2,13,11,0.4914,27866
Mount Saint Mary's University,2349,8,11,10,0.8382,24643
Curry College,2342,1,21,11,0.9271,19414
Fort Valley State University,2337,5,31,11,0.6127,3208
Coppin State University,2326,2,11,10,0.3821,2004
St Francis College,2315,2,11,9,0.7664,15976
Houston Baptist University,2311,6,11,10,0.7002,13242
Augsburg University,2311,4,11,13,0.6896,16399
Madonna University,2311,3,13,9,0.7827,14400
Susquehanna University,2310,2,32,11,0.7241,17425
The College of New Rochelle,2305,2,21,9,0.8254,17034
Franklin and Marshall College,2298,2,13,11,0.3532,30199
Grove City College,2291,2,32,11,0.7905,17121
Saint Ambrose University,2289,4,12,11,0.6269,18419
Muhlenberg College,2285,2,12,11,0.6179,24266
Limestone College,2278,5,31,10,0.4416,13130
Delta State University,2269,5,33,10,0.8519,4787
Clark University,2252,1,12,14,0.5939,20544
Nazareth College,2252,2,21,11,0.6363,19863
University of Montevallo,2251,5,21,11,0.4848,8343
Marymount University,2243,5,12,10,0.9091,21474
EDIC College,2238,9,13,9,0.9724,6179
SUNY College of Agriculture and Technology at Cobleskill,2231,2,32,11,0.7709,3877
Georgia Southwestern State University,2231,5,32,10,0.6929,4919
Gustavus Adolphus College,2229,4,31,11,0.6616,18443
Marian University,2226,3,11,10,0.6138,22016
Belhaven University,2220,5,12,10,0.5161,12635
Mississippi University for Women,2208,5,33,10,0.9778,5433
Hobart William Smith Colleges,2206,2,32,11,0.5717,27795
Morehouse College,2205,5,11,11,0.5788,14044
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,2198,8,11,9,0.5193,31097
Lynn University,2194,5,13,11,0.7045,20918
University of Wisconsin-Superior,2191,3,22,10,0.7759999999999999,6129
Canisius College,2191,2,11,14,0.787,16427
Mount Holyoke College,2190,1,21,11,0.5091,22126
Trevecca Nazarene University,2189,5,11,10,0.6403,12903
Union College,2180,2,13,11,0.3868,32664
South Dakota School of Mines and Technology,2177,4,13,10,0.8332,9975
Alvernia University,2176,2,13,10,0.6838,17256
Louisiana State University-Shreveport,2175,5,12,12,0.8652,7690
University of Mary,2169,4,41,11,0.779,16959
Spelman College,2166,5,11,11,0.3934,17303
Trinity College,2162,1,12,11,0.3355,29483
Macalester College,2160,4,11,11,0.4124,23225
University of Mount Union,2155,3,31,11,0.9641,13780
University of West Alabama,2152,5,43,13,0.3966,7929
Ohio Northern University,2144,3,31,11,0.6829999999999999,16291
DePauw University,2141,3,32,11,0.626,17704
Southwest Baptist University,2126,4,32,10,0.7040000000000001,10878
King's College,2122,2,13,11,0.7759,18400
SUNY Polytechnic Institute,2120,2,22,10,0.6484,5991
Franciscan University of Steubenville,2117,3,13,11,0.7709999999999999,15451
Lincoln University,2113,2,21,11,0.4927,6113
Hondros College of Nursing,2109,3,21,9,0.6574,18176
Lesley University,2108,1,12,13,0.7572,19361
Springfield College,2103,1,12,14,0.6317,17210
Saint Norbert College,2099,3,22,11,0.7768,19773
Northern Vermont University,2099,1,42,10,0.8424,11984
Dominican University,2098,3,21,10,0.6379,17732
Colorado College,2098,7,11,11,0.15,36561
Faulkner University,2079,5,12,10,0.5227,11044
Central State University,2079,3,41,11,0.5708,3432
Hamline University,2077,4,11,10,0.6715,17402
Rose-Hulman Institute of Technology,2073,3,13,11,0.682,26939
Moravian College,2061,2,13,11,0.7282,18729
Union University,2061,5,13,10,0.5742,14830
Sul Ross State University,2060,6,33,10,0.9911,4026
Trine University,2059,3,32,11,0.7340000000000001,13730
Dakota State University,2051,4,32,10,0.8324,7485
William Carey University,2050,5,13,13,0.6787,14092
Carleton College,2046,4,32,11,0.1984,32952
Claflin University,2043,5,32,11,0.564,11519
University of South Carolina Beaufort,2040,5,31,10,0.6328,6555
Siena Heights University,2035,3,32,10,0.6859999999999999,11079
Marymount Manhattan College,2032,2,11,10,0.7807,23044
Williams College,2028,1,31,11,0.1297,32481
North Greenville University,2025,5,41,11,0.5962,10052
Chicago State University,2024,3,11,9,0.3276,9030
Southwest Minnesota State University,2022,4,33,13,0.6034,3895
Shenandoah University,2022,5,13,14,0.7029,18384
University of Evansville,2018,3,12,11,0.6948,14026
Saint Anselm College,2016,1,22,11,0.7664,20942
Assumption College,2014,1,12,11,0.8107,14911
Lewis & Clark College,2011,8,11,14,0.7376,24584
Gardner-Webb University,2010,5,32,11,0.4814,11922
Concordia College at Moorhead,2009,4,22,11,0.613,17759
Arcadia University,2003,2,21,14,0.6416,17159
The College of Wooster,2001,3,32,11,0.5418,18550
Colby College,2000,1,33,11,0.1306,31197
North Carolina Wesleyan College,1999,5,13,10,0.6279,10709
Misericordia University,1997,2,21,10,0.8263,16709
Salve Regina University,1996,1,21,11,0.7617,18445
Mount Saint Mary College,1996,2,21,11,0.9378,18112
Tiffin University,1995,3,32,10,0.6922,11180
West Liberty University,1994,5,41,11,0.6936,6372
Rhode Island School of Design,1994,1,12,11,0.2387,40914
Lawrence Technological University,1991,3,13,10,0.7772,22741
West Coast University-Los Angeles,1991,8,11,9,0.9231,31208
Hamilton College,1989,2,22,11,0.2128,32497
Art Center College of Design,1987,8,12,9,0.6765,34648
Eckerd College,1987,5,11,11,0.6766,23475
Rhodes College,1985,5,11,11,0.4455,18944
Roanoke College,1981,5,22,11,0.7249,15783
Emmanuel College,1976,1,11,11,0.77,16706
Luther College,1974,4,33,11,0.6257,16779
North Park University,1967,3,11,11,0.4658,17824
DeVry University-California,1965,8,21,9,0.9487,21547
University of Dubuque,1965,4,13,10,0.7303,18193
EDP University of Puerto Rico Inc-San Juan,1960,9,11,9,0.8578,8257
Westminster College,1946,7,12,10,0.9292,18393
Gwynedd Mercy University,1943,2,21,10,0.92,18197
Benedictine College,1942,4,32,11,0.9284,12402
Western Colorado University,1940,7,33,11,0.8891,10527
College of Micronesia-FSM,1929,9,-3,2,0.7635,626
McKendree University,1924,3,21,11,0.6663,12058
Everglades University,1921,5,13,9,0.6935,18949
Bay Path University,1921,1,21,9,0.6041,15610
Millikin University,1918,3,13,11,0.6126,13477
Berry College,1913,5,41,11,0.6612,14760
Occidental College,1910,8,11,11,0.373,29134
University of Charleston,1910,5,13,10,0.5042,11754
University of St Thomas,1909,6,11,9,0.8224,16842
Neumann University,1907,2,21,10,0.6902,19698
Holy Family University,1903,2,11,9,0.7198,15958
Albright College,1897,2,13,11,0.62,14336
Taylor University,1888,3,32,11,0.7764,17410
Delaware Valley University,1884,2,21,11,0.6566,17309
Adams State University,1881,7,33,11,0.9865,6150
Lake Superior State University,1873,3,33,11,0.6338,7615
Kettering University,1861,3,13,9,0.7027,19893
Lincoln Memorial University,1861,5,32,13,0.5971,26566
University of Connecticut-Stamford,1858,1,12,-2,0.782,3669
Amherst College,1855,1,21,11,0.1281,27541
Eastern University,1844,2,21,10,0.6843,11737
Vanguard University of Southern California,1842,8,12,11,0.4017,16707
Davidson College,1839,5,21,11,0.195,21158
Nebraska Wesleyan University,1839,4,11,11,0.7208,12123
University of Minnesota-Crookston,1834,4,32,10,0.6592,6031
University of South Florida-Sarasota-Manatee,1834,5,21,9,0.3243,5195
Bates College,1832,1,13,11,0.1779,46915
Bridgewater College,1830,5,23,11,0.6608,11238
Massachusetts College of Art and Design,1828,1,11,11,0.6719,13756
Walsh University,1826,3,21,11,0.778,12313
Bowdoin College,1825,1,31,11,0.1026,31648
Washington and Lee University,1822,5,32,11,0.2116,28486
Mount St. Mary's University,1822,2,31,11,0.6813,17060
Pacific University,1820,8,21,14,0.8531,24321
SUNY College of Environmental Science and Forestry,1819,2,12,10,0.614,5007
University of Northwestern-St Paul,1818,4,21,11,0.9262,14794
Missouri Baptist University,1818,4,21,9,0.5229,10292
Oklahoma Christian University,1813,6,11,11,0.6476,10301
Marywood University,1810,2,13,11,0.7636,16780
Oklahoma Baptist University,1808,6,32,11,0.6431,10873
Connecticut College,1798,1,13,11,0.3776,29719
Bard College,1795,2,31,11,0.6456,21844
Simmons University,1790,1,11,14,0.6972,22807
Cumberland University,1785,5,31,10,0.6166,7605
Concordia University-Irvine,1784,8,11,14,0.6178,15656
College of Saint Benedict,1782,4,22,11,0.8338,18703
West Virginia State University,1781,5,22,9,0.9439,4590
Adrian College,1781,3,32,11,0.6481,14136
University of Saint Francis-Fort Wayne,1774,3,11,9,0.9342,16278
Maryland Institute College of Art,1774,2,11,11,0.6426,29865
Castleton University,1774,1,32,11,0.8547,12921
Central Methodist University-College of Graduate and Extended Studies,1773,4,32,9,0.2105,2723
LeTourneau University,1771,6,13,10,0.4553,15400
Lakeland University,1765,3,41,9,0.5198,11664
Methodist University,1759,5,12,11,0.5469,15825
Wagner College,1752,2,11,11,0.6981,21720
Augustana University,1752,4,12,11,0.6542,13518
Wheaton College,1750,1,21,11,0.6984,19984
Inter American University of Puerto Rico-Fajardo,1750,9,23,9,0.5710000000000001,5267
Allegheny College,1735,2,32,11,0.6361,17759
Grand View University,1731,4,12,11,0.9198,13220
St Bonaventure University,1730,2,33,11,0.7284,14076
Southern University at New Orleans,1726,5,11,10,0.3009,4813
Becker College,1725,1,12,11,0.6634,16910
University of Arkansas Community College-Morrilton,1720,5,32,2,0.7415,2335
Whittier College,1719,8,21,11,0.7595,23764
Hardin-Simmons University,1719,6,12,11,0.8420000000000001,12188
Kenyon College,1719,3,32,11,0.3583,30723
The University of the Arts,1717,2,11,10,0.7517,22027
Concordia University Texas,1716,6,11,9,0.9063,15390
Daemen College,1712,2,21,9,0.5392,14500
Viterbo University,1709,3,13,10,0.758,14187
Wittenberg University,1701,3,13,11,0.7373,13842
Lenoir-Rhyne University,1699,5,13,11,0.7389,12594
Carson-Newman University,1695,5,23,11,0.6603,10574
Queens University of Charlotte,1695,5,11,11,0.7854,12169
Oklahoma City University,1691,6,11,11,0.7618,17739
Brenau University,1688,5,13,10,0.5688,17169
Illinois Wesleyan University,1686,3,13,11,0.5855,20874
Virginia Military Institute,1685,5,32,11,0.513,14914
Lebanon Valley College,1684,2,23,11,0.7821,17489
New England College,1684,1,42,10,0.9979,9855
Grinnell College,1683,4,33,11,0.2438,20369
Northwestern Oklahoma State University,1681,6,33,10,0.6239,5130
Johnson & Wales University-Charlotte,1681,5,11,11,0.8569,15627
American Musical and Dramatic Academy,1676,2,11,11,0.2366,30231
The University of the South,1675,5,42,11,0.6517,25265
Mount Vernon Nazarene University,1671,3,32,11,0.7575,11240
Keuka College,1671,2,32,10,0.856,15039
Spring Arbor University,1671,3,23,10,0.7093,11667
Seton Hill University,1671,2,21,11,0.7499,13807
West Coast University-Ontario,1671,8,12,9,0.8809999999999999,31033
Saint Francis University,1668,2,31,11,0.7538,14425
Saint Johns University,1667,4,41,11,0.797,18304
La Sierra University,1666,8,11,10,0.4709,29673
Bloomfield College,1660,2,21,10,0.6062,17938
Wofford College,1659,5,13,11,0.6358,16769
Mississippi Valley State University,1659,5,33,11,0.863,2230
Texas A&M University-Texarkana,1656,6,41,9,0.5109,6225
Saint Michael's College,1655,1,22,11,0.8265,24234
Massachusetts Maritime Academy,1653,1,22,11,0.8905,11049
Robert Morris University Illinois,1653,3,11,9,0.634,17368
Southwestern Assemblies of God University,1651,6,21,11,0.9069,12798
University of the Virgin Islands,1650,9,33,9,0.9778,8441
Lasell University,1650,1,13,11,0.7978,18927
Concord University,1644,5,32,11,0.8898,3371
University of Maine at Farmington,1637,1,33,11,0.8121,6095
Evangel University,1634,4,12,11,0.7916,10809
College of Mount Saint Vincent,1630,2,11,11,0.7782,14028
Berea College,1630,5,32,11,0.382,2571
Franklin Pierce University,1627,1,41,11,0.6611,16040
Caldwell University,1625,2,21,10,0.6664,17817
Willamette University,1623,8,12,11,0.8364,23252
Chaminade University of Honolulu,1621,8,11,9,0.9769,16218
D'Youville College,1620,2,11,10,0.996,20191
Felician University,1617,2,21,10,0.8055,18111
Saint Vincent College,1607,2,21,11,0.6835,13333
Walla Walla University,1604,8,23,11,0.5077,17804
Elizabethtown College,1602,2,21,11,0.7572,20368
Asbury University,1596,5,31,11,0.6676,14491
Gordon College,1593,1,21,11,0.7547,17349
Alfred University,1591,2,33,11,0.6269,8778
University of St Francis,1590,3,21,10,0.4678,13217
Pennsylvania College of Health Sciences,1588,2,21,6,0.7441,19234
Montana Technological University,1585,7,33,9,0.9175,7535
Inter American University of Puerto Rico-Guayama,1585,9,13,9,0.4308,5251
SUNY Maritime College,1581,2,11,11,0.7166,7596
Rockhurst University,1579,4,11,11,0.6612,16256
Thomas More University,1579,5,21,10,0.9003,12762
John Brown University,1575,5,32,11,0.7715,11732
Georgian Court University,1574,2,13,10,0.725,17443
Oakwood University,1569,5,12,11,0.6589,14766
Meredith College,1563,5,11,11,0.6257,18498
Cornerstone University,1561,3,12,10,0.7339,11713
Ringling College of Art and Design,1559,5,13,11,0.6691,36642
Herzing University-Madison,1558,3,11,9,1.0,17903
Cabrini University,1557,2,21,11,0.7189,15245
Ohio Wesleyan University,1554,3,21,11,0.6899,12634
Elizabeth City State University,1553,5,32,11,0.5929,3124
Mansfield University of Pennsylvania,1552,2,32,11,0.9235,7601
Pomona College,1549,8,21,11,0.0761,22245
College of the Ozarks,1548,4,32,11,0.1152,2432
Manhattanville College,1546,2,21,11,0.8994,17418
Buena Vista University,1546,4,33,11,0.5713,12782
Ouachita Baptist University,1546,5,32,11,0.636,10407
Muskingum University,1544,3,32,11,0.7218,11316
Swarthmore College,1544,2,21,11,0.0949,28252
McDaniel College,1542,2,23,11,0.6431,14491
King University,1539,5,13,10,0.5813,10414
St. Mary's College of Maryland,1538,2,23,11,0.8006,10487
Christian Brothers University,1535,5,11,10,0.5601,13251
Drew University,1530,2,21,11,0.6922,15953
Lancaster Bible College,1530,2,21,10,0.6357,12902
Indiana Institute of Technology,1524,3,11,12,0.6318,6577
Goucher College,1523,2,13,11,0.8041,15940
Inter American University of Puerto Rico-Barranquitas,1513,9,21,9,0.4017,4836
Albion College,1512,3,31,11,0.6824,12849
University of Pittsburgh-Greensburg,1506,2,21,10,0.6403,11728
Belmont Abbey College,1505,5,22,11,0.7978,10595
LIM College,1503,2,11,10,0.8346,27234
Medaille College,1490,2,11,10,0.6348,12733
Mount Mercy University,1488,4,12,10,0.6281,13706
University of Minnesota-Morris,1488,4,33,11,0.6279,5069
Drury University,1486,4,12,10,0.6824,11495
Johnson C Smith University,1480,5,11,11,0.4583,11618
Randolph-Macon College,1478,5,21,11,0.6711,17641
Wartburg College,1468,4,32,11,0.7571,15457
Concordia University-Portland,1468,8,11,13,0.6031,14476
University of Dallas,1467,6,12,11,0.3913,18700
Andrews University,1466,3,31,11,0.6554,15761
Lake Forest College,1466,3,21,11,0.5792,16942
Concordia University-Chicago,1463,3,21,11,0.76,14756
Mercy College of Ohio,1461,3,11,6,0.556,14706
Reed College,1456,8,11,11,0.3503,33701
California College of the Arts,1453,8,11,10,0.8818,30596
Northern State University,1451,4,33,11,0.8811,5465
Hillsdale College,1446,3,32,11,0.3599,10060
Kalamazoo College,1446,3,13,11,0.728,17245
Whitman College,1446,8,13,11,0.5015,32756
Texas Wesleyan University,1445,6,11,10,0.3586,18751
Missouri Valley College,1440,4,33,11,0.5918,6412
Saint Mary's College,1439,3,21,11,0.8190000000000001,18549
The Sage Colleges,1438,2,13,11,0.9329999999999999,15483
