INSTNM,UGDS,REGION,LOCALE,CCSIZSET,ADM_RATE,TUITFTE
Middle Tennessee State University,18001,5,12,15,0.9353,7078
University of California-Santa Cruz,17792,8,13,17,0.4737,14448
University of Mississippi,17784,5,33,16,0.8806,11133
California State University-San Bernardino,17704,8,12,15,0.5483,3622
University of North Georgia,17661,5,31,15,0.8094,4850
Kansas State University,17611,4,13,16,0.934,12018
Western Michigan University,17519,3,13,16,0.8109999999999999,12648
University of Nevada-Reno,17513,8,12,15,0.8815,7092
Stony Brook University,17407,2,21,17,0.4198,10509
University of New Mexico-Main Campus,17321,6,11,15,0.6961,6322
Appalachian State University,17265,5,32,16,0.6946,6780
Boston University,17238,1,11,17,0.2209,33686
Wayne State University,17114,3,11,15,0.7115,11202
Miami University-Oxford,17038,3,31,16,0.7455,18359
Missouri State University-Springfield,16948,4,12,15,0.8497,6950
Montclair State University,16812,2,21,16,0.7091,9192
Boise State University,16526,7,12,15,0.8075,8429
University of Virginia-Main Campus,16405,5,23,16,0.2643,21371
California State University-Chico,16317,8,13,15,0.6526,4242
Georgia State University-Perimeter College,16312,5,11,5,0.6558,3652
University of North Carolina at Greensboro,16238,5,11,16,0.8384,6177
CUNY Hunter College,16205,2,11,15,0.3642,5549
CUNY New York City College of Technology,16204,2,11,15,0.7505,2870
Central Michigan University,16157,3,32,16,0.6884,10701
Rowan University,15755,2,21,16,0.7272,12155
CUNY Queens College,15645,2,11,15,0.4765,4757
University of Memphis,15563,5,11,15,0.843,7992
Drexel University,15557,2,11,16,0.7694,27607
Ball State University,15529,3,13,16,0.6478,7723
Oakland University,15476,3,21,15,0.8391,12024
Eastern Michigan University,15325,3,21,16,0.757,10638
Georgia Institute of Technology-Main Campus,15201,5,11,17,0.2153,13259
Cornell University,15105,2,13,16,0.1061,29653
Chamberlain University-Illinois,15087,3,21,15,0.775,16506
Western Washington University,15071,8,13,16,0.8766,7734
University of Toledo,14893,3,11,15,0.9365,10533
California State University-San Marcos,14871,8,21,15,0.5842,5828
Syracuse University,14759,2,12,17,0.4986,25789
CUNY Bernard M Baruch College,14629,2,11,15,0.3929,6734
Montana State University,14566,7,33,16,0.8170000000000001,10478
University of Louisville,14488,5,11,16,0.7243,11960
DePaul University,14280,3,11,15,0.6753,23261
West Chester University of Pennsylvania,14249,2,21,16,0.7444,9999
University of Louisiana at Lafayette,14245,5,12,15,0.5599,9602
University of North Florida,14223,5,11,16,0.6108,5546
Baylor University,14159,6,12,16,0.3895,23490
University of North Carolina Wilmington,14076,5,12,16,0.6125,7440
Binghamton University,13990,2,22,17,0.3981,8187
Western Kentucky University,13959,5,13,16,0.9721,8365
CUNY Brooklyn College,13954,2,11,15,0.4426,3966
California State University-Dominguez Hills,13871,8,13,15,0.6394,3854
Northeastern University,13760,1,11,17,0.1934,37140
University of Rhode Island,13743,1,21,16,0.6948,13880
Bowling Green State University-Main Campus,13729,3,31,16,0.7227,9034
University of Akron Main Campus,13676,3,12,15,0.6893,9521
Florida Gulf Coast University,13639,5,21,16,0.6492,5059
SUNY at Albany,13434,2,13,17,0.5208,7146
University of Massachusetts-Lowell,13385,1,21,16,0.7183,13280
University of Alabama at Birmingham,13186,5,12,15,0.9211,13177
Troy University,13147,5,33,15,0.8767,9399
University of Central Oklahoma,13118,6,21,15,0.7822,7624
Rochester Institute of Technology,12886,2,21,17,0.6602,22053
CUNY John Jay College of Criminal Justice,12852,2,11,15,0.4058,3804
Northern Illinois University,12761,3,23,16,0.5438,6727
DeVry University-Illinois,12743,3,11,12,0.945,9228
California State University-East Bay,12728,8,12,15,0.716,5794
University of New Hampshire-Main Campus,12668,1,23,17,0.7678,13676
University of Hawaii at Manoa,12609,8,11,16,0.8352,11038
University of Houston-Downtown,12572,6,11,12,0.8317,6874
ECPI University,12567,5,11,15,0.7221,13862
CUNY City College,12503,2,11,15,0.4827,4047
Fort Hays State University,12456,4,33,12,0.9229,6221
Eastern Kentucky University,12246,5,32,16,0.8729,6856
University of Nebraska at Omaha,12230,4,11,15,0.8168,6733
University of Massachusetts-Boston,12229,1,11,15,0.7761,14218
George Washington University,12161,2,11,17,0.4187,31783
