Name,Reopening Plan,Unnamed: 2
University of Arkansas at Fort Smith,Primarily in person,
Crafton Hills College,Fully online,
State University of New York College at Oneonta,Fully online,
Highline College,Primarily online,
Ithaca College,Fully online,
State University of New York Broome Community College,Hybrid,
University of the Pacific,Fully online,
Passaic County Community College,Primarily online,
Yeshiva University,Primarily in person,
Nicholls State University,Primarily online,
Campbell University,Primarily online,
Lewis University,Primarily online,
East Stroudsburg University of Pennsylvania,Primarily online,
Elizabethtown Community and Technical College,Primarily online,
Northcentral Technical College,Primarily online,
Weatherford College,Primarily in person,
College of Alameda,Primarily online,
Shippensburg University of Pennsylvania,Primarily online,
Concordia University Wisconsin,Primarily in person,
Albany State University,Hybrid,
Rowan-Cabarrus Community College,Primarily online,
Central Community College,Primarily in person,
University of Nebraska at Kearney,Hybrid,
Colorado School of Mines,Primarily in person,
Bowie State University,Primarily in person,
Fayetteville State University,Primarily online,
Mohawk Valley Community College,Primarily online,
North Hennepin Community College,Primarily online,
South Louisiana Community College,Primarily online,
Southern Oregon University,Primarily in person,
Blue Ridge Community and Technical College,Primarily online,
Florida Institute of Technology,Primarily in person,
St. Charles Community College,Primarily online,
Aims Community College,Hybrid,
Rock Valley College,Primarily online,
Tacoma Community College,Primarily online,
Naugatuck Valley Community College,Primarily online,
Minnesota State Community and Technical College at Fergus Falls,Primarily in person,
Columbia State Community College,Primarily online,
Worcester State University,Primarily in person,
Pueblo Community College,Hybrid,
West Kentucky Community and Technical CollegeMcCracken County? KY,Primarily online,
Georgia Highlands College,Primarily in person,
South Seattle College,Primarily online,
University of South Carolina Upstate,Hybrid,
Ramapo College of New Jersey,Primarily online,
Monmouth University,Primarily in person,
Taft College,Fully online,
Walters State Community College,Primarily online,
Northeast State Community College,Hybrid,
University of Wisconsin at River Falls,Primarily online,
Biola University,Primarily online,
Alabama A&M University,Hybrid,
Midwestern State University,Primarily online,
Westfield State University,Primarily online,
Tri-County Technical College,Hybrid,
Simmons University,Fully online,
Cerro Coso Community College,Primarily online,
Pierce College-Fort Steilacoom,Primarily online,
Clackamas Community College,Primarily online,
Berkeley City College,Fully online,
Eastern Arizona College,Hybrid,
Missouri Southern State University,Primarily in person,
Aurora University,Primarily online,
Concordia University Chicago,Fully online,
Eastern New Mexico University,Primarily online,
Manchester Community College (Conn.),Primarily online,
Frederick Community College,Hybrid,
National-Louis University,Primarily online,
Canada College,Primarily online,
University of Washington at Bothell,Primarily online,
Iowa Western Community College,Hybrid,
Catholic University of America,Fully online,
Shoreline Community College,Primarily online,
Finger Lakes Community College,Primarily online,
University of Indianapolis,Primarily online,
Yuba College,Other,
North Seattle College,Primarily online,
Kansas City Kansas Community College,Hybrid,
Bradley University,Primarily online,
Harford Community College,Primarily online,
Minnesota State University at Moorhead,Hybrid,
Somerset Community College,Primarily online,
Truman State University,Hybrid,
Southern Maine Community College,Primarily online,
Georgia Northwestern Technical College,Hybrid,
University of Texas of the Permian Basin,Hybrid,
Winthrop University,Primarily online,
Brandeis University,Primarily online,
Emporia State University,Primarily in person,
North Shore Community College,Primarily online,
Clark State Community College,Hybrid,
State University of New York College at Plattsburgh,Hybrid,
Oklahoma State University at Oklahoma City,Primarily online,
Colorado Mountain College,Hybrid,
Roane State Community College,Hybrid,
Holmes Community College,Primarily online,
Los Angeles Southwest College,Fully online,
Western Iowa Tech Community College,Primarily online,
Missouri Western State University,Primarily in person,
Gavilan College,Primarily online,
Loyola University Maryland,Fully online,
Gulf Coast State College,Hybrid,
Western Connecticut State University,Primarily online,
Samford University,Hybrid,
State University of New York College at Geneseo,Hybrid,
Hutchinson Community College and Area Vocational School,Primarily in person,
Alvin Community College,Primarily online,
Lincoln Land Community College,Primarily online,
Framingham State University,Primarily online,
Saint Mary's University of Minnesota,Primarily online,
Linn-Benton Community College,Primarily online,
Genesee Community College,Primarily in person,
Snow College,Fully in person,
Northeast Lakeview College,Primarily online,
Napa Valley College,Primarily online,
Northwest Florida State College,Primarily in person,
Butler University,Primarily online,
University of Bridgeport,Primarily in person,
Bentley University,Primarily online,
Midland College,Primarily online,
Piedmont Virginia Community College,Primarily online,
Durham Technical Community College,Primarily online,
Norwalk Community College,Primarily online,
Bethel University (Tenn.),Primarily in person,
Iowa Central Community College,Primarily in person,
Lee University,Fully in person,
Community College of Vermont,Primarily online,
Gaston College,Primarily online,
University of Washington at Tacoma,Primarily online,
Concordia University (Ore.),Other,
Oregon Institute of Technology,Primarily online,
Pennsylvania College of Technology,Primarily in person,
Frostburg State University,Primarily online,
Missouri Baptist University,Primarily online,
University of Scranton,Hybrid,
Lake Superior College,Primarily in person,
Fairfield University,Primarily in person,
North Idaho College,Hybrid,
Southwestern Oklahoma State University,Primarily in person,
Hawkeye Community College,Primarily online,
Northern Essex Community College,Primarily online,
Schenectady County Community College,Primarily online,
Indiana University at South Bend,Hybrid,
Auburn University at Montgomery,Hybrid,
Eastern Connecticut State University,Primarily in person,
Holyoke Community College,Primarily online,
Grambling State University,Primarily in person,
Norfolk State University,Primarily online,
Abilene Christian University,Primarily in person,
Moberly Area Community College,Primarily in person,
University of West Alabama,Fully in person,
Utica College,Hybrid,
La Salle University,Fully online,
Central Carolina Community College,Primarily in person,
Winston-Salem State University,Hybrid,
Western Oregon University,Primarily online,
Spokane Falls Community College,Primarily online,
Skagit Valley College,Primarily online,
Indiana University Southeast,Hybrid,
High Point University,Fully in person,
Wilkes University,Primarily online,
Rochester Community and Technical College,Primarily online,
Harding University,Hybrid,
Dalton State College,Primarily in person,
University of Detroit Mercy,Hybrid,
Bemidji State University,Primarily online,
Mississippi College,Primarily online,
Arizona State University-Polytechnic,Hybrid,
State University of New York College at Old Westbury,Fully online,
Jackson College (Mich.),Fully online,
Gateway Community College,Primarily online,
Heartland Community CollegeMcLean County? IL,Primarily online,
Plymouth State University,Hybrid,
Wallace State Community College at Hanceville (Ala.),Other,
Concordia University at St. Paul,Primarily in person,
Niagara County Community College,Primarily online,
Central Arizona College,Fully online,
William Carey University,Primarily online,
University of Baltimore,Fully online,
College of Marin,Primarily online,
Northeast Community College,Primarily in person,
Pratt Institute,Primarily online,
Housatonic Community College,Primarily online,
Luzerne County Community College,Undetermined,
Atlantic Cape Community College,Primarily online,
Franklin University,Fully online,
Paris Junior College,Primarily in person,
Christopher Newport University,Primarily online,
Benedictine UniversityDuPage County? IL,Primarily in person,
Pennsylvania State University-Harrisburg,Hybrid,
Itawamba Community College,Primarily online,
Nevada State College,Primarily online,
Molloy College,Primarily in person,
Springfield Technical Community College,Undetermined,
Angelina College,Hybrid,
Longwood University,Primarily in person,
Temple College,Fully online,
Southern Crescent Technical College,Primarily in person,
Robert Morris University (Pa.),Primarily online,
Central Oregon Community College,Primarily in person,
South Puget Sound Community College,Primarily online,
University of Cincinnati-Blue Ash College,Hybrid,
University of Findlay (Ohio),Hybrid,
Drake University,Primarily in person,
Kilgore College,Primarily in person,
Clarion University of Pennsylvania,Primarily online,
Jackson State Community College,Primarily online,
Roger Williams University,Primarily in person,
St. Catherine University,Primarily online,
Governors State University,Hybrid,
Westmoreland County Community College,Primarily online,
Rogue Community College,Undetermined,
Lesley University,Primarily online,
Pearl River Community College,Primarily online,
Edinboro University of Pennsylvania,Primarily online,
Rider University,Primarily online,
Lake-Sumter State College,Primarily online,
Harrisburg University of Science and Technology,Fully online,
Lincoln Memorial University,Primarily in person,
Endicott College,Primarily in person,
Wiregrass Georgia Technical College,Fully in person,
Kent State University-Stark,Primarily online,
Dallas Baptist University,Hybrid,
Hennepin Technical College,Primarily online,
Gadsden State Community College,Hybrid,
Northshore Technical Community College Sullivan Campus,Primarily in person,
State Fair Community College,Primarily online,
University of Mary Washington,Primarily online,
University of South Florida at St. Petersburg,Hybrid,
Indiana Institute of Technology-College of Professions Studies,Primarily online,
Providence College,Fully online,
College of the Mainland,Primarily online,
State University of New York at Fredonia,Hybrid,
Olivet Nazarene University,Primarily in person,
Merrimack College,Hybrid,
Southern Regional Technical College,Hybrid,
West Hills College Coalinga (Calif.),Primarily online,
Lipscomb University,Primarily in person,
Coastal Bend College,Fully online,
Catawba Valley Community College,Hybrid,
George C. Wallace Community College at Dothan (Ala,Other,
University of Redlands,Fully online,
WSU Campus of Applied Sciences and Technology,Hybrid,
Point Loma Nazarene University,Hybrid,
Delaware State University,Primarily online,
Lake Land College,Hybrid,
University of Illinois at Springfield,Primarily online,
Emerson College,Hybrid,
College of the Redwoods,Primarily online,
Athens Technical College,Primarily in person,
Southeastern Oklahoma State University,Hybrid,
Spartanburg Community College,Primarily online,
Champlain College,Hybrid,
University of Arkansas-Pulaski Technical College,Fully in person,
Southern Union State Community College,Hybrid,
Baltimore City Community College,Fully online,
Crowder College,Primarily online,
Wentworth Institute of Technology,Hybrid,
Wayland Baptist University,Primarily in person,
Jones College,Primarily online,
Piedmont Technical College,Hybrid,
Howard College,Hybrid,
Southcentral Kentucky Community & Technical College,Hybrid,
Jamestown Community College,Primarily online,
Southern Arkansas University,Undetermined,
Moraine Park Technical College,Primarily in person,
Yakima Valley Community College,Primarily online,
Pierce College District,Undetermined,
Northeast Iowa Community College,Primarily in person,
Hill College,Primarily online,
Arizona State University-West,Primarily online,
Bates Technical College,Primarily online,
Jefferson College,Primarily online,
New River Community College,Primarily online,
Alabama State University,Hybrid,
Augusta Technical College,Hybrid,
Upper Iowa University,Primarily in person,
Virginia State University,Fully online,
California Lutheran University,Primarily online,
Big Sandy Community and Technical College,Primarily in person,
Grayson College,Hybrid,
Massachusetts Bay Community College,Fully online,
University of Tulsa,Hybrid,
Morton College,Primarily online,
Shelton State Community College,Primarily online,
Stetson University,Hybrid,
University of Houston-Victoria,Primarily online,
Black Hawk College,Primarily online,
Roosevelt University,Primarily online,
Saint Cloud Technical and Community College,Primarily online,
Hampton University,Fully online,
Trine University,Primarily in person,
York College of Pennsylvania,Hybrid,
Montana State University at Billings,Primarily in person,
Pennsylvania State University at Erie The Behrend College,Hybrid,
Brazosport College,Hybrid,
St. Edward's University,Hybrid,
University of Wisconsin-Parkside,Primarily online,
Fresno Pacific University,Fully online,
Gannon University,Hybrid,
Abraham Baldwin Agricultural College,Primarily online,
Cameron University,Primarily in person,
Porterville College,Primarily online,
University of Portland,Fully online,
Clarkson University,Hybrid,
Inver Hills Community College,Primarily online,
Whatcom Community College,Primarily online,
Loyola University New Orleans,Primarily online,
York Technical College,Primarily online,
Alamance Community College,Primarily online,
Kellogg Community College,Primarily online,
Trinity Valley Community College,Primarily in person,
University of the District of Columbia,Primarily online,
Texarkana College,Primarily in person,
West Hills College Lemoore (Calif.),Hybrid,
Barton County Community College,Primarily in person,
State University of New York College at Purchase,Primarily online,
South Suburban College of Cook County,Fully online,
Manhattan College,Hybrid,
St. Thomas University,Primarily in person,
Jacksonville University,Primarily in person,
Santa Fe Community College (N.MSanta Fe County? NM,Primarily online,
Belhaven University,Primarily online,
Reading Area Community College,Primarily online,
Maysville Community and Technical College,Hybrid,
Florence-Darlington Technical College,Undetermined,
Northern Oklahoma College,Hybrid,
Northern Wyoming Community College District,Primarily in person,
Concordia University (Calif.),Primarily online,
Hagerstown Community College,Primarily online,
Cedarville University,Primarily in person,
University of Maine at Augusta,Primarily online,
Palo Verde College,Hybrid,
St. Joseph's College-Long Island,Primarily online,
Point Park University,Hybrid,
Blue Ridge Community College (Va.),Primarily online,
Laramie County Community College,Primarily online,
Gateway Community and Technical College,Primarily online,
Hawaii Pacific University,Primarily in person,
Muskegon Community College,Primarily online,
Savannah State University,Undetermined,
South Mountain Community College,Primarily online,
Mohave Community College,Primarily online,
Oral Roberts University,Hybrid,
Lanier Technical College,Hybrid,
Central Virginia Community College,Primarily online,
Johnston Community College,Hybrid,
College of Saint Scholastica,Primarily online,
John A. Logan College,Hybrid,
Black Hills State University,Fully in person,
Central Lakes College,Primarily online,
Sandhills Community College,Primarily online,
Western Technical College (Wis.),Primarily online,
James A. Rhodes State College,Hybrid,
University of Richmond,Primarily in person,
East Mississippi Community College,Primarily online,
Three Rivers Community College (Conn.),Primarily online,
Norwich University,Primarily in person,
College of Saint Rose,Hybrid,
Henderson State University,Primarily online,
Indiana University Northwest,Primarily online,
Fairmont State University,Hybrid,
Prairie State College,Fully online,
George Fox University,Primarily in person,
Owensboro Community and Technical College,Primarily online,
Francis Marion University,Primarily in person,
Pacific University,Primarily in person,
University of St. Francis (Ill,Primarily in person,
Trevecca Nazarene University,Primarily in person,
Iona College,Primarily online,
Indian Hills Community College,Primarily online,
Clark Atlanta University,Fully online,
Clover Park Technical College,Primarily online,
Tunxis Community College,Hybrid,
Mendocino College,Primarily online,
University of Mary Hardin-Baylor,Primarily in person,
Saint Mary's College of California,Primarily online,
Coastal Carolina Community College,Primarily online,
Central Methodist University College of Graduate and Extended Studies,Primarily online,
Victoria College,Primarily online,
Walla Walla Community College,Hybrid,
Savannah Technical College,Undetermined,
Shenandoah University,Hybrid,
Louisiana Delta Community College,Hybrid,
Mid Michigan Community College,Primarily online,
University of Mary,Primarily in person,
Bryant University,Primarily in person,
Valparaiso University,Primarily in person,
Western New England University,Primarily in person,
Bismarck State College,Primarily in person,
Cayuga Community College,Primarily in person,
Bethune-Cookman University,Primarily online,
Niagara University,Fully in person,
The Citadel,Primarily in person,
University of North Carolina at Asheville,Primarily online,
Husson University,Primarily online,
University of North Texas at Dallas,Primarily online,
Pennsylvania State University at Abington,Hybrid,
Bevill State Community College,Primarily online,
Alfred State College,Primarily in person,
Calvin College,Primarily in person,
Northwestern Michigan College,Primarily in person,
State University of New York Adirondack,Primarily online,
Mount Wachusett Community College,Fully online,
Indiana University East,Hybrid,
Coconino Community College,Hybrid,
Delta State University,Primarily in person,
St. John Fisher College,Primarily in person,
Baldwin Wallace University,Primarily in person,
Palm Beach Atlantic University,Primarily in person,
University of South Carolina at Aiken,Hybrid,
Bethel University (Minn.),Primarily in person,
West Virginia State University,Hybrid,
Wingate University,Primarily in person,
Seattle Pacific University,Hybrid,
Lewis-Clark State College,Primarily in person,
Edison State Community College,Primarily online,
Cochise College,Hybrid,
Lake Washington Institute of Technology,Primarily online,
Bucknell University,Primarily in person,
Saint Xavier University,Primarily in person,
Woodland Community College,Primarily in person,
Gordon State College (Ga.),Hybrid,
Arcadia University,Primarily online,
Ohio Christian University,Primarily in person,
Alcorn State University,Primarily online,
Davidson County Community College,Primarily in person,
Casper College,Fully in person,
St. Mary's University (Tex,Primarily online,
Shepherd University at Shepherdstown (W.VJefferson County? WV,Primarily in person,
School of the Art Institute of Chicago,Fully online,
Wayne State College,Fully in person,
Rogers State University,Primarily in person,
University of Northwestern at St. Paul (Minn,Primarily in person,
Stevenson University,Fully online,
Gardner-Webb University,Primarily in person,
Marian University (Ind.),Primarily in person,
University of Florida-Online,Fully online,
Caldwell Community College and Technical Institute,Primarily in person,
East Central University (Oklahoma),Undetermined,
Atlanta Technical College,Primarily online,
John Carroll University,Fully online,
Ulster County Community College,Primarily online,
Central Carolina Technical College,Primarily online,
College of Coastal Georgia,Fully in person,
Madisonville Community College,Primarily online,
Renton Technical College,Fully online,
Keene State College,Hybrid,
University of Hawaii Honolulu Community College,Hybrid,
St. Clair County Community College,Primarily online,
Northwest-Shoals Community College,Hybrid,
Hamline University,Primarily in person,
State University of New York College at Potsdam,Primarily online,
Northeast Mississippi Community College,Primarily in person,
Quincy College,Primarily online,
Northland Community and Technical College,Primarily online,
Warren County Community College,Fully online,
Meridian Community College,Primarily online,
Northern State University,Fully in person,
Fairleigh Dickinson University College at Florham (N.JMorris County? NJ,Primarily online,
New Hampshire Technical Institute-Concord's Community College,Primarily online,
River Parishes Community College,Undetermined,
Coastal Pines Technical College,Hybrid,
Hocking College,Primarily online,
Sowela Technical Community College,Primarily in person,
Saint Peter's University,Fully online,
Great Basin College,Primarily online,
Arkansas State University at Beebe,Hybrid,
Bay Path University,Primarily online,
Wenatchee Valley College,Fully online,
Central Ohio Technical College,Primarily online,
DeSales UniversityLehigh County? PA,Hybrid,
Spring Arbor University,Primarily in person,
Houston Baptist University,Hybrid,
Southside Virginia Community College,Hybrid,
Anderson University (S.CAnderson County? SC,Primarily in person,
Elmhurst CollegeDuPage County? IL,Hybrid,
Corning Community College,Hybrid,
University of Northwestern Ohio,Primarily online,
Augsburg University,Primarily online,
Lock Haven University,Primarily online,
Marymount University,Hybrid,
Charleston Southern University,Primarily online,
Andrews University,Primarily in person,
University of Hawaii at Hilo,Primarily online,
Goodwin College,Primarily online,
Lewis & Clark College,Hybrid,
Cascadia College,Primarily online,
Florida Gateway College,Hybrid,
Dakota State University,Fully in person,
Messiah College,Hybrid,
Cisco College,Primarily online,
Georgia Piedmont Technical CollegeDeKalb County? GA,Primarily online,
Newman University,Fully in person,
Bellarmine University,Hybrid,
Minnesota West Community and Technical College,Primarily online,
Southwest Baptist University,Primarily in person,
Babson College,Primarily online,
Le Moyne College,Primarily in person,
Carroll University,Primarily in person,
Western Nevada College,Primarily online,
Evergreen State College,Primarily online,
Fort Lewis College,Primarily in person,
Southeast Kentucky Community and Technical College,Primarily online,
Kishwaukee CollegeDeKalb County? IL,Undetermined,
Butler County Community College (Pa.),Primarily in person,
Columbus Technical College,Primarily in person,
Ridgewater College,Primarily online,
Capital Community College,Primarily in person,
Jefferson Community College,Primarily online,
Lawson State Community College,Primarily online,
Lamar Institute of Technology,Fully in person,
Cleveland State Community College,Hybrid,
Riverland Community College,Primarily online,
Eastern University,Primarily in person,
Shawnee State University,Hybrid,
Western New Mexico University,Primarily online,
Union University,Primarily in person,
Pennsylvania State University at Altoona,Hybrid,
Canisius College,Primarily in person,
Wayne Community College,Primarily online,
State University of New York College of Technology at Delhi,Primarily online,
Louisiana State University at Eunice,Primarily in person,
Xavier University of Louisiana,Primarily in person,
University of St. Thomas (Tex,Hybrid,
Siena College,Primarily in person,
Wesleyan University (Conn.),Hybrid,
State University of New York College of Technology at Canton,Hybrid,
Capital University,Primarily online,
University of Mount Olive,Primarily online,
Pacific Lutheran University,Hybrid,
Lake Michigan College,Hybrid,
University of Maryland-Eastern Shore,Primarily in person,
Minot State University,Primarily in person,
Indiana Wesleyan University,Primarily in person,
Hazard Community and Technical College,Primarily online,
Western Wyoming Community College,Primarily in person,
Northland Pioneer College,Primarily online,
Albany Technical College,Fully online,
Faulkner University,Primarily in person,
Northwood University (Mich.),Fully in person,
Brigham Young University-Hawaii,Fully online,
LeTourneau UniversityGregg County? TX,Primarily in person,
Centralia College,Primarily online,
Kaskaskia College,Primarily online,
Louisiana State University at Alexandria,Primarily in person,
Mitchell Community College,Primarily online,
Florida Southern College,Fully online,
American International College,Primarily online,
Our Lady of the Lake University,Primarily in person,
Hope College,Primarily in person,
Rockhurst University,Primarily online,
Southeastern Baptist Theological Seminary,Primarily in person,
Springfield College (Mass.),Primarily in person,
City Colleges of Chicago Kennedy-King College,Primarily online,
University of Hawaii-West Oahu,Primarily online,
Rollins College,Hybrid,
Indiana University at Kokomo,Primarily online,
Clark University,Hybrid,
University of Arkansas at Monticello,Hybrid,
Adams State University,Hybrid,
Highland Community College (Kan.),Primarily in person,
Clovis Community College (N.M),Primarily online,
Copiah-Lincoln Community College,Primarily online,
Lynn University (Fla.),Primarily in person,
University of Hawaii Maui College,Primarily online,
Northeast Texas Community College,Primarily in person,
Holy Family University,Hybrid,
Moody Bible Institute,Primarily online,
Rappahannock Community College,Primarily online,
University of Lynchburg,Fully online,
Three Rivers College (Mo.),Fully in person,
Surry Community College,Primarily online,
Central Maine Community College,Primarily online,
Hult International Business School at Boston,Hybrid,
Vance-Granville Community College,Primarily online,
Gwynedd Mercy University,Primarily online,
Nash Community College,Hybrid,
Vernon College,Primarily in person,
Barstow Community College,Fully online,
Carroll Community College,Primarily online,
St. Olaf College,Primarily in person,
Tiffin University,Primarily in person,
St. Ambrose University,Primarily in person,
D'Youville College,Hybrid,
Madonna University,Primarily in person,
Lander University,Hybrid,
Ohio Northern University,Primarily in person,
New Mexico Highlands University,Primarily online,
Western State Colorado University,Primarily in person,
Franciscan University of Steubenville,Primarily in person,
Tuskegee University,Hybrid,
Wor-Wic Community College,Hybrid,
State University of New York Polytechnic Institute,Primarily online,
South Carolina State University,Hybrid,
University of Cincinnati-Clermont College,Hybrid,
Bob Jones University,Fully in person,
Craven Community College,Primarily online,
Truett McConnell UniversityWhite County? GA,Fully in person,
Cape Cod Community College,Hybrid,
North Iowa Area Community College,Other,
Dominican University,Hybrid,
Culinary Institute of America,Primarily in person,
Nazareth College of Rochester (N.YMonroe County? NY,Hybrid,
State University of New York at Morrisville,Hybrid,
Eastern Oregon University,Primarily in person,
Dyersburg State Community College,Primarily online,
Colgate University,Hybrid,
Mount Saint Mary's University (Calif.),Hybrid,
Chicago State University,Primarily online,
North Central State College,Primarily online,
Lakeshore Technical College,Primarily online,
Wisconsin Indianhead Technical College,Primarily online,
Illinois Valley Community CollegeLaSalle County? IL,Hybrid,
North Dakota State College of Science,Primarily online,
Furman University,Hybrid,
Wheaton College (Ill.)Du,Hybrid,
East Georgia State College,Primarily in person,
Southern Adventist University,Fully in person,
College of the Holy Cross,Fully online,
Cumberland County College,Undetermined,
North Central CollegeDuPage County? IL,Primarily in person,
Monroe County Community College,Primarily online,
Lawrence Technological University,Primarily online,
South Florida State College,Other,
Georgia Southwestern State University,Primarily in person,
Edward Waters College,Primarily online,
Smith College,Fully online,
North Park University,Primarily in person,
Otterbein University,Primarily online,
Mineral Area College,Hybrid,
Northeast Alabama Community College,Primarily online,
Ohio State University at Newark,Hybrid,
Carthage College,Primarily in person,
Bishop State Community College,Fully online,
College of New Rochelle (N.YWestchester County? NY,Hybrid,
Marywood University,Hybrid,
South Piedmont Community College,Primarily online,
Brenau University,Primarily in person,
Danville Community College,Undetermined,
Kankakee Community College,Primarily online,
Milwaukee School of Engineering,Hybrid,
Lower Columbia College,Primarily online,
Oberlin College,Primarily online,
University of Minnesota at Crookston,Hybrid,
Midwestern Baptist Theological Seminary,Hybrid,
Alvernia University,Primarily in person,
Randolph Community College,Hybrid,
McDaniel CollegeCarroll County? MD,Primarily online,
Walsh University,Primarily in person,
Wabash Valley College,Primarily in person,
Embry-Riddle Aeronautical University at Prescott (Ariz.),Fully in person,
Whitworth University,Primarily in person,
Fort Valley State University,Primarily in person,
Oklahoma City University,Primarily in person,
Baker University,Primarily in person,
Panola College,Primarily in person,
New England Institute of Technology,Primarily online,
Regis College,Primarily online,
United Talmudical Seminary,Other,
Hopkinsville Community College,Hybrid,
Life University,Other,
South Central College,Primarily online,
Sul Ross State University,Primarily in person,
Coppin State University,Hybrid,
Mississippi University for Women,Primarily online,
Umpqua Community College,Primarily online,
Lenoir-Rhyne University,Primarily in person,
Morningside College,Primarily in person,
Lenoir Community College,Hybrid,
Mid-State Technical College,Primarily online,
Central Louisiana Technical Community College,Primarily in person,
Mercyhurst University,Hybrid,
University of Puget Sound,Fully online,
Cowley County Community College,Primarily in person,
City Colleges of Chicago Olive-Harvey College,Primarily online,
Lassen Community College,Other,
Pennsylvania Highlands Community College,Primarily online,
South Dakota School of Mines and Technology,Hybrid,
Miami University at Hamilton (Ohio),Primarily online,
Southern University at Shreveport (La.),Other,
Salve Regina University,Primarily in person,
Lafayette College,Fully online,
Trinity University,Hybrid,
Sage Colleges,Hybrid,
University of Hawaii Hawaii Community College,Primarily online,
East Central College,Primarily in person,
Chicago School of Professional Psychology at Los Angeles,Fully online,
University of Charleston,Primarily in person,
Danville Area Community College,Hybrid,
Alexandria Technical and Community College,Primarily in person,
Skidmore College,Hybrid,
North Georgia Technical College,Hybrid,
University of Montevallo,Primarily in person,
Saint Francis University (Pa.),Hybrid,
Middlebury College,Hybrid,
Flager College at St. Augustine (Fla,Hybrid,
University of Wisconsin at Superior,Primarily online,
East Central Community College,Primarily in person,
Wilkes Community College,Primarily online,
University of Pittsburgh at Johnstown,Primarily online,
Neumann University,Primarily online,
Viterbo University,Primarily in person,
Johnson State College,Primarily in person,
Lindsey Wilson College,Primarily in person,
Allegany College of Maryland,Hybrid,
Curry College,Primarily in person,
University of Arkansas at Pine Bluff,Primarily online,
Pennsylvania State University-Berks,Hybrid,
North Greenville University,Primarily in person,
Manchester Community College (N.HHillsborough County? NH,Primarily online,
Daemen College,Primarily online,
King's College (Pa.),Primarily in person,
Concordia University Texas,Hybrid,
Misericordia University,Primarily in person,
Barnard College,Fully online,
Carson-Newman University,Primarily in person,
College of the Albemarle,Primarily online,
Stonehill College,Hybrid,
Richmond Community College,Hybrid,
Cleveland Community College,Fully in person,
Southeastern Community College (Iowa),Primarily in person,
Middlesex Community College (Conn.),Primarily in person,
Stanly Community College,Primarily online,
Augustana College (Ill.),Primarily in person,
University of Dallas,Hybrid,
Ashland Community and Technical College,Primarily online,
Allen County Community College,Primarily online,
Queens University of Charlotte,Fully online,
Wellesley College,Primarily online,
West Liberty University,Primarily online,
Dakota County Technical College,Primarily online,
St. Lawrence University,Hybrid,
New England College,Primarily online,
John Brown University,Fully in person,
Moravian College,Hybrid,
Wytheville Community College,Primarily online,
Mountain Empire Community College,Primarily in person,
Lakeland University,Primarily online,
Columbia College (Calif.),Primarily online,
McKendree UniversitySt. Clair County? IL,Primarily in person,
Manhattanville College,Primarily online,
Rend Lake College,Primarily online,
South Georgia State College,Fully in person,
Lincoln University (Mo.),Primarily in person,
Westminster College (Utah),Primarily in person,
Richland Community College,Primarily online,
Richard Bland College,Hybrid,
Kennebec Valley Community College,Primarily online,
Rhode Island School of Design,Primarily online,
University of Saint Joseph,Hybrid,
University of Hawaii Windward Community College,Primarily online,
Georgian Court University,Primarily online,
Vassar College,Hybrid,
Southern State Community College,Primarily online,
Fulton-Montgomery Community College,Primarily online,
Piedmont College,Primarily in person,
Chadron State College,Hybrid,
Immaculata University,Primarily in person,
University of Evansville,Primarily online,
Limestone College,Primarily in person,
Gettysburg College,Primarily online,
Lamar State College at Port Arthur (Tex.),Fully in person,
Siena Heights University,Primarily in person,
Galveston College,Hybrid,
Delaware Valley University,Primarily in person,
Assumption College,Primarily online,
Eastern New Mexico University at Roswell,Primarily in person,
Concordia University (Neb.),Hybrid,
Ranger College,Hybrid,
St. Francis College (NKings County? NY,Primarily online,
Muskingum University,Fully in person,
Mount St. Mary's University (Md,Hybrid,
Cumberland University,Other,
Lake Tahoe Community College,Primarily online,
University of Mount Union,Hybrid,
West Virginia University at Parkersburg,Primarily online,
Oklahoma State University Institute of Technology at Okmulgee,Primarily in person,
Dickinson College,Fully online,
Herkimer County Community College,Hybrid,
Susquehanna University,Primarily in person,
Eastern Maine Community College,Primarily online,
Marion Technical College,Primarily online,
Denison University,Hybrid,
Cecil College,Primarily online,
Orangeburg-Calhoun Technical College,Primarily online,
Virginia Highlands Community College,Primarily online,
University of Dubuque,Hybrid,
St. Bonaventure University,Primarily in person,
Northwest State Community College,Hybrid,
Lincoln University (Pa.),Primarily online,
Mississippi Delta Community College,Primarily in person,
Tompkins Cortland Community College,Primarily online,
Southwest Virginia Community College,Primarily online,
Nunez Community College,Primarily online,
Notre Dame of Maryland University,Hybrid,
Southwestern Community College (N.CJackson County? NC,Primarily online,
Willamette University,Hybrid,
Los Angeles Pacific University,Fully online,
Southern University at New Orleans,Hybrid,
Mount Saint Mary College (N.YOrange County? NY,Hybrid,
Flathead Valley Community College,Primarily online,
Nyack College,Primarily online,
Lamar State College-Orange,Primarily in person,
Hardin-Simmons University,Hybrid,
Muhlenberg College,Fully online,
La Sierra University,Hybrid,
Chatham University,Primarily in person,
Mount Holyoke College,Fully online,
North Central Michigan College,Primarily in person,
Rivier University,Primarily in person,
University of Pikeville,Primarily in person,
Bellingham Technical College,Fully online,
Kettering University,Primarily in person,
Franklin & Marshall College,Hybrid,
William Woods University,Primarily in person,
Alfred University,Primarily in person,
Sussex County Community College,Primarily in person,
Seton Hill University,Primarily in person,
